index 0.00
record_id 0.00
building_id 0.00
timestamp 27.21
season 0.08
subject_id 60.62
age 55.06
gender 35.56
ht 80.02
wt 76.12
ta 0.00
ta_h 73.67
ta_m 69.56
ta_l 90.46
top 61.33
tr 34.84
tg 72.20
tg_h 69.63
tg_m 74.39
tg_l 91.58
rh 6.24
vel 14.23
vel_h 79.88
vel_m 72.16
vel_l 90.63
met 13.47
clo 6.37
activity_10 89.88
activity_20 89.01
activity_30 89.93
activity_60 89.17
thermal_sensation 2.62
thermal_acceptability 40.56
thermal_preference 21.13
thermal_comfort 65.12
air_movement_acceptability 81.31
air_movement_preference 59.69
blind_curtain 93.17
fan 85.28
window 75.86
door 89.10
heater 90.26
t_out 36.43
rh_out 76.59
t_out_monthly 52.69
t_out_isd 39.62
rh_out_isd 43.89
set 49.45
pmv 52.20
ppd 52.20
pmv_ce 49.22
ppd_ce 49.22
t_mot_isd 40.84
